,,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
School,Conf,Pre,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/2,3/9,Final
Arizona,Pac-12,2,2,3,3,3,3,3,8,7,10,7,6,6,7,7,7,5,5,5
Arkansas,SEC,,,25,18,,,,,23,19,,,,24,18,18,18,21,21
Baylor,Big 12,,,,,,,22,22,21,22,21,20,19,16,20,19,14,16,16
Boise State,MWC,,,,,,,,,,,,,,,,,,25,
Butler,Big East,,,,23,15,23,,,,,,25,22,18,19,23,21,22,24
Colorado State,MWC,,,,,,,24,24,,,,,,,,,,,
Creighton,Big East,,,23,,,,,,,,,,,,,,,,
Davidson,A-10,,,,,,,,,,,,,,,,,,24,
Dayton,A-10,,,,,,,,,,,22,,,,,,,,
Duke,ACC,4,4,4,4,2,2,2,2,2,4,5,4,4,4,4,4,3,2,4
Florida,SEC,7,8,18,,,,,,,,,,,,,,,,
Georgetown,Big East,,,,,,,,25,,,,21,24,,,,,23,22
Gonzaga,WCC,13,13,10,9,9,8,8,7,6,3,3,3,2,3,3,3,7,7,7
Harvard,Ivy,25,,,,,,,,,,,,,,,,,,
Illinois,Big Ten,,,,24,,,,,,,,,,,,,,,
Indiana,Big Ten,,,,,,,,,,,23,22,,,,,,,
Iowa,Big Ten,,,,,,,,,,,25,,,,,,,,
Iowa State,Big 12,14,14,13,20,14,13,12,9,17,11,9,15,11,14,14,12,17,13,9
Kansas,Big 12,5,5,11,11,10,10,10,13,12,9,11,9,8,8,8,8,9,9,10
Kentucky,SEC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Louisville,ACC,8,7,6,5,4,4,4,5,5,6,10,10,9,9,12,17,16,14,17
Maryland,Big Ten,,,,21,19,17,15,12,11,14,13,16,17,19,16,14,10,8,12
Miami (FL),ACC,,,17,15,20,18,,,,,,23,,,,,,,
Michigan,Big Ten,24,24,19,17,,,,,,,,,,,,,,,
Michigan State,Big Ten,18,19,20,19,,25,,,,,,,,,,,,,23
Murray State,OVC,,,,,,,,,,,,,,,,,25,,
Nebraska,Big Ten,21,21,,,,,,,,,,,,,,,,,
Northern Iowa,MVC,,,,,23,,23,23,,23,20,18,14,13,11,10,11,10,11
Notre Dame,ACC,,,,,25,21,16,14,13,12,8,8,10,10,10,9,12,11,8
Ohio State,Big Ten,20,20,16,14,12,12,21,20,22,,,,20,23,24,,23,,
Oklahoma,Big 12,19,18,,22,16,15,19,18,16,18,19,24,21,17,17,16,15,15,13
Oklahoma State,Big 12,,,,,,,,,,24,,,,22,22,,,,
Old Dominion,CUSA,,,,,,,,,25,,,,,,,,,,
Providence,Big East,,,,,,,,,,,,,,,,25,24,,
SMU,AAC,22,22,,,,,,,,,,,23,25,21,21,22,20,18
San Diego State,MWC,16,16,15,13,18,19,,,,,,,,,,24,,,
Seton Hall,Big East,,,,,,,,,19,21,24,,,,,,,,
St. John's (NY),Big East,,,,,24,20,17,15,24,,,,,,,,,,
Syracuse,ACC,23,23,,,,,,,,,,,,,,,,,
TCU,Big 12,,,,,,,25,,,,,,,,,,,,
Texas,Big 12,10,10,7,6,8,9,9,11,10,20,17,19,25,,,,,,
UCLA,Pac-12,,,22,,,,,,,,,,,,,,,,
UConn,AAC,17,17,24,,,,,,,,,,,,,,,,
UNC,ACC,6,6,5,12,21,24,20,19,18,15,15,13,12,12,15,15,19,19,15
Utah,Pac-12,25,25,,25,13,14,14,10,9,8,12,11,13,11,9,13,13,17,19
VCU,A-10,15,15,14,,,,,,20,17,16,14,18,20,25,22,,,25
Villanova,Big East,12,12,12,10,7,7,7,6,8,5,4,7,7,6,6,6,4,4,2
Virginia,ACC,9,9,8,7,6,6,5,3,3,2,2,2,3,2,2,2,2,3,6
Washington,Pac-12,,,,,17,16,13,21,,,,,,,,,,,
West Virginia,Big 12,,,21,16,22,22,18,17,14,16,18,17,15,21,23,20,20,18,20
Wichita State,MVC,11,11,9,8,11,11,11,16,15,13,14,12,16,15,13,11,8,12,14
Wisconsin,Big Ten,3,3,2,2,5,5,6,4,4,7,6,5,5,5,5,5,6,6,3
Wyoming,MWC,,,,,,,,,,25,,,,,,,,,
