,,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
School,Conf,Pre,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/4,3/11,Final
Arizona State,Pac-12,,,,,20,20,18,17,,,,,,,,,,,,
Auburn,SEC,11,9,8,8,8,8,7,12,12,11,14,16,,,,,,,22,14
Buffalo,MAC,,25,22,21,17,14,14,21,20,19,16,14,18,23,25,25,21,19,18,15
Cincinnati,AAC,,,,,,,,,,,,,,25,,,23,20,24,22
Clemson,ACC,22,19,16,,,,,,,,,,,,,,,,,
Duke,ACC,4,1,1,3,3,2,2,1,1,1,1,2,2,2,2,1,3,4,5,1
Florida State,ACC,17,14,14,15,11,10,11,9,9,13,11,,25,22,17,16,18,14,12,10
Furman,Southern,,,,,25,23,24,,,,,,,,,,,,,
Gonzaga,WCC,3,3,3,1,1,4,8,7,7,5,5,4,4,4,3,2,1,1,1,4
Houston,AAC,,,,,,24,21,22,19,17,21,17,13,12,9,9,8,12,11,11
Indiana,Big Ten,,,,,,25,22,23,21,22,25,,,,,,,,,
Iowa,Big Ten,,,20,14,18,22,23,24,25,,23,19,,20,21,21,22,,,
Iowa State,Big 12,,,,,,,,,,20,,24,20,17,23,19,,,,24
Kansas,Big 12,1,2,2,2,2,1,1,5,5,7,7,9,11,13,14,12,15,13,17,17
Kansas State,Big 12,12,12,12,12,16,25,,,,,,,,,18,23,16,18,15,18
Kentucky,SEC,2,10,10,10,9,19,19,16,13,18,12,8,7,5,5,4,4,6,4,7
LSU,SEC,23,22,19,,,,,,,,,25,19,21,19,13,13,10,9,12
Louisville,ACC,,,,,,,,,,,,23,15,16,16,18,,,,
Marquette,Big East,,24,,,,21,20,18,16,21,15,12,10,10,10,11,10,16,23,
Maryland,Big Ten,,,,24,23,,,,,,19,13,21,24,24,24,17,24,21,
Michigan,Big Ten,19,18,9,7,5,5,4,2,2,2,2,5,5,7,6,7,9,7,10,8
Michigan State,Big Ten,10,11,11,9,10,9,10,8,8,6,6,6,6,9,11,10,6,9,6,5
Mississippi State,SEC,18,17,15,25,22,18,17,19,17,14,24,22,22,,,,,,,
NC State,ACC,,,,,,,,20,18,15,17,21,23,,,,,,,
Nebraska,Big Ten,,,,,24,,25,,24,,,,,,,,,,,
Nevada,MWC,7,6,6,5,6,7,6,6,6,10,10,7,8,6,7,6,12,17,14,20
Ohio State,Big Ten,,,23,16,19,15,15,13,14,16,,,,,,,,,,
Oklahoma,Big 12,,,,,,,,25,23,23,20,,,,,,,,,
Ole Miss,SEC,,,,,,,,,,,18,20,,,,,,,,
Oregon,Pac-12,14,13,21,18,,,,,,,,,,,,,,,,
Purdue,Big Ten,24,23,24,19,,,,,,,,,17,15,12,15,14,11,13,13
St. John's (NY),Big East,,,,,,,,,,24,,,,,,,,,,
Syracuse,ACC,16,15,,,,25,,,,,,,,,,,,,,
TCU,Big 12,20,21,18,,,,,,,25,,,,,,,,,,
Tennessee,SEC,6,5,5,6,7,3,3,3,3,3,3,1,1,1,1,5,7,5,8,6
Texas,Big 12,,,,17,,,,,,,,,,,,,,,,
Texas Tech,Big 12,,,,20,13,11,12,11,11,8,8,14,16,18,15,14,11,8,7,9
UCF,AAC,,,,,,,,,,,,,,,,,,25,,
UCLA,Pac-12,21,20,17,,,,,,,,,,,,,,,,,
UNC,ACC,8,7,7,11,14,12,9,14,15,12,13,11,9,8,8,8,5,3,3,3
Utah State,MWC,,,,,,,,,,,,,,,,,,,,25
Villanova,Big East,9,8,,23,21,17,,,,,22,18,14,14,13,17,,23,25,23
Virginia,ACC,5,4,4,4,4,6,5,4,4,4,4,3,3,3,4,3,2,2,2,2
Virginia Tech,ACC,15,16,13,13,15,13,13,10,10,9,9,10,12,11,22,20,20,15,16,16
Washington,Pac-12,25,,,,,,,,,,,,,,,,25,,,
West Virginia,Big 12,13,,,,,,,,,,,,,,,,,,,
Wisconsin,Big Ten,,,25,22,12,16,16,15,22,,,,24,19,20,22,19,21,19,21
Wofford,Southern,,,,,,,,,,,,,,,,,24,22,20,19
