,,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
School,Conf,Pre,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,Final
Alabama,SEC,,,,,,,,,18,9,10,11,8,6,8,6,5
Arizona State,Pac-12,18,25,23,,,,,,,,,,,,,,
Arkansas,SEC,,,,,,,,,,,,,24,20,12,8,10
BYU,WCC,,,,,,,,,,,,,,,,,23
Baylor,Big 12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
Clemson,ACC,,,,24,,,19,12,20,,,,,,,,
Colorado,Pac-12,,,,,,,,,,,,,,,24,23,22
Creighton,Big East,11,9,8,9,13,11,7,8,11,17,15,19,14,13,14,17,19
Drake,MVC,,,,,,,,,,,25,,,,,,
Duke,ACC,9,6,10,21,20,20,21,19,,,,,,,,,
Florida,SEC,,,,,,,,,,,22,,,,,,
Florida State,ACC,21,22,20,15,21,18,25,,,16,20,17,16,11,11,15,14
Gonzaga,WCC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Houston,AAC,17,10,7,6,6,5,11,11,8,6,5,8,6,12,9,7,6
Illinois,Big Ten,8,5,6,13,18,15,12,14,22,19,12,6,5,5,4,3,2
Iowa,Big Ten,5,3,3,3,4,10,5,5,4,7,8,15,11,9,5,5,8
Kansas,Big 12,6,7,5,5,3,3,6,6,9,15,23,,23,17,13,11,12
Kentucky,SEC,10,20,,,,,,,,,,,,,,,
Louisville,ACC,,,25,23,,,,16,,25,,,,,,,
Loyola (IL),MVC,,,,,,,,,,,,22,22,21,20,18,17
Michigan,Big Ten,25,,,25,19,16,10,7,7,4,4,3,3,3,2,4,4
Michigan State,Big Ten,13,8,4,4,12,17,23,,,,,,,,,,
Minnesota,Big Ten,,,,,,21,16,23,17,21,,,,,,,
Missouri,SEC,,,,16,14,12,13,17,19,12,18,10,20,24,,,
Northwestern,Big Ten,,,,,,19,,,,,,,,,,,
Ohio State,Big Ten,23,23,22,20,23,25,,21,15,13,7,4,4,4,7,9,7
Oklahoma,Big 12,,,,,,,,,,24,9,12,9,7,16,25,
Oklahoma State,Big 12,,,,,,,,,,,,23,,,17,12,11
Oregon,Pac-12,20,21,,,25,21,17,22,21,,,,,,,,
Purdue,Big Ten,,,,,,,,,,,24,24,,,23,20,20
Richmond,A-10,,19,19,,,,,,,,,,,,,,
Rutgers,Big Ten,24,24,21,19,11,14,15,,,,,25,,,,,
Saint Louis,A-10,,,,,,,23,24,25,22,,,,,,,
San Diego State,MWC,,,24,18,,,,,,,,,25,22,19,19,16
Tennessee,SEC,12,13,12,10,8,7,9,10,6,18,11,16,19,25,,,
Texas,Big 12,19,17,13,11,10,8,4,4,5,5,6,13,12,14,15,13,9
Texas Tech,Big 12,14,17,17,14,15,13,18,15,12,10,13,7,15,18,18,20,21
UCLA,Pac-12,22,,,,,,,,24,23,21,,,,,,
UConn,Big East,,,,,,,,25,23,,,,,,,,
UNC,ACC,16,14,16,22,17,,,,,,,,,,,,
USC,Pac-12,,,,,,,,,,,,20,17,19,,24,24
Villanova,Big East,3,12,9,7,5,4,3,3,3,3,3,5,10,8,10,14,18
Virginia,ACC,4,15,18,17,16,23,22,18,13,8,14,9,7,15,21,16,15
Virginia Tech,ACC,,16,15,,24,24,19,20,16,20,16,18,18,16,22,22,25
West Virginia,Big 12,15,11,11,8,7,9,14,13,14,11,17,14,13,10,6,10,13
Wisconsin,Big Ten,7,4,13,12,9,6,8,9,10,14,19,21,21,23,25,,
Xavier,Big East,,,,,22,,,,,,,,,,,,
