,,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23
School,Conf,Pre,11/13,11/20,11/27,12/4,12/11,12/18,12/26,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/4,3/11,3/18,Post
Alabama,SEC,24,22,17,23,,,,,,,,,24,16,15,13,14,16,19,19,3
Arizona,Pac-12,12,3,3,2,1,1,4,4,10,8,12,9,11,8,5,4,6,5,6,9,11
Arkansas,SEC,14,14,20,,,,,,,,,,,,,,,,,,
Auburn,SEC,,,,,,,,,25,16,13,8,16,12,13,14,11,13,12,7,18
BYU,Big 12,,,,19,14,18,17,14,12,18,20,21,22,21,19,25,,20,20,21,
Baylor,Big 12,20,15,13,9,6,6,10,17,18,14,9,15,18,13,12,11,15,11,14,14,16
Clemson,ACC,,,,,24,13,18,18,16,21,,,,,,,,,,,14
Colorado,Pac-12,,25,18,,,,,,,,,,,,,,,,,,
Colorado State,MWC,,,,20,13,17,16,15,13,17,,24,,,,22,,,,,
Creighton,Big East,8,8,8,15,10,8,12,22,,22,18,17,13,19,17,15,12,10,8,11,13
Dayton,A-10,,,,,,,,,,,21,16,21,18,16,16,21,25,24,,25
Duke,ACC,2,9,9,7,22,21,21,16,14,12,7,12,7,9,9,8,10,9,11,13,9
Florida,SEC,,,,,,,,,,,,,,,,24,24,,,,
Florida Atlantic,AAC,10,10,19,13,11,15,14,7,17,24,23,22,20,20,24,,,,,,
Gonzaga,WCC,11,11,11,11,7,10,15,13,24,23,,,,,,,23,19,17,18,15
Houston,Big 12,7,6,6,6,3,4,3,3,3,2,5,4,4,5,3,2,1,1,1,2,3
Illinois,Big Ten,25,23,,24,20,16,13,11,9,10,14,10,14,10,14,12,13,12,13,10,6
Indiana State,MVC,,,,,,,,,,,,,,,23,,,,,,
Iowa State,Big 12,,,,,,,,,,,24,23,12,14,10,6,8,6,7,4,8
James Madison,Sun Belt,,24,22,22,18,20,20,20,19,,,,,,,,,,,,
Kansas,Big 12,1,1,1,5,2,2,2,2,2,3,3,7,8,4,6,9,7,14,16,17,19
Kentucky,SEC,16,17,16,12,16,14,9,8,6,6,8,6,10,17,22,17,16,15,9,12,20
Marquette,Big East,5,4,4,3,8,7,6,10,7,11,17,14,9,7,4,7,5,8,10,8,12
Memphis,AAC,,,,,,,23,19,15,13,10,19,,,,,,,,,
Miami (FL),ACC,13,12,10,8,15,24,,,,,,,,,,,,,,,
Michigan State,Big Ten,4,18,21,,,,,,,,,,,,,,,,,,
Mississippi State,SEC,,,25,21,,,,,,,,,,,,,,,,,
NC State,ACC,,,,,,,,,,,,,,,,,,,,,10
Nevada,MWC,,,,,,,,,,,,,,,,,,,23,,
New Mexico,MWC,,,,,,,,,,,,25,19,25,,,,,,,
Northwestern,Big Ten,,,,,,25,,,,,,,,,,,,,,,
Oklahoma,Big 12,,,,25,19,11,7,12,11,9,15,11,23,,25,,,,,,
Ole Miss,SEC,,,,,,,25,24,22,,22,,,,,,,,,,
Providence,Big East,,,,,,,,25,23,,,,,,,,,,,,
Purdue,Big Ten,3,2,2,1,4,3,1,1,1,1,2,2,2,2,2,3,2,3,3,3,2
Saint Mary's,WCC,23,,,,,,,,,,,,,,18,18,17,23,21,15,21
San Diego State,MWC,17,,,,25,,,,,19,,,,24,,19,20,21,,24,17
South Carolina,SEC,,,,,,,,,,,,,,15,11,20,18,17,15,16,24
South Florida,AAC,,,,,,,,,,,,,,,,,25,24,,,
TCU,Big 12,,,,,,,,,,,19,,25,,,,,,,,
Tennessee,SEC,9,7,7,10,17,12,8,6,5,5,6,5,5,6,8,5,4,4,5,6,5
Texas,Big 12,18,19,15,16,12,19,19,21,20,25,,,,,,,,,,,
Texas A&M,SEC,15,13,12,14,21,,,,,,,,,,,,,,,,
Texas Tech,Big 12,,,,,,,,,,,25,20,15,23,,23,,,25,22,
UConn,Big East,6,5,5,4,5,5,5,5,4,4,1,1,1,1,1,1,3,2,2,1,1
UNC,ACC,19,20,14,17,9,9,11,9,8,7,4,3,3,3,7,10,9,7,4,5,7
USC,Pac-12,21,16,23,,,,,,,,,,,,,,,,,,
Utah State,MWC,,,,,,,,,,20,16,18,17,22,,,22,22,18,20,22
Villanova,Big East,22,21,,18,,,,,,,,,,,,,,,,,
Virginia,ACC,,,24,,,22,22,,,,,,,,21,,,,,,
Washington State,Pac-12,,,,,,,,,,,,,,,,21,19,18,22,25,23
Wisconsin,Big Ten,,,,,23,23,24,23,21,15,11,13,6,11,20,,,,,23,
