,,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll
,,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20
School,Conf,Pre,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/14,Post
Alabama,SEC,25,,,,,,24,16,8,7,11,9,7,5,5,5,5
Arizona State,Pac-12,17,23,,,,,,,,,,,,,,,
Arkansas,SEC,,,,,,,,,,,,,20,13,8,10,6
BYU,WCC,,,,,,,,,,,,,,,,,
Baylor,Big 12,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,1
Clemson,ACC,,,,,,18,12,22,,,,,,,,,
Colorado,Pac-12,,,,,,,,23,,,,,,,,22,23
Creighton,Big East,11,7,9,13,10,5,6,11,14,12,17,12,11,12,17,19,14
Drake,MVC,,,,,,,,,,25,,,,,,,
Duke,ACC,8,11,23,25,,24,23,,,,,,,,,,
Florida,SEC,,25,,,,,,,,23,,,,,,,
Florida State,ACC,18,21,15,21,19,22,,25,16,19,19,16,9,11,13,14,10
Gonzaga,WCC,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Houston,AAC,18,8,8,7,5,11,11,8,6,5,7,5,10,7,7,6,3
Illinois,Big Ten,10,9,13,18,16,12,13,24,22,13,6,5,4,4,3,2,8
Iowa,Big Ten,6,3,3,5,11,7,8,4,7,8,16,14,12,8,6,8,13
Kansas,Big 12,5,5,5,4,4,6,7,9,18,22,,24,19,14,12,11,16
Kentucky,SEC,9,,,,,,,,,,,,,,,,
Louisville,ACC,,24,22,,,25,18,,23,,,,,,,,
Loyola (IL),MVC,,,,,,,,,,,23,23,22,22,18,16,12
Michigan,Big Ten,,,24,19,15,9,5,7,4,4,3,3,3,2,4,4,4
Michigan State,Big Ten,12,4,4,11,18,,,,,,,,,,,,
Minnesota,Big Ten,,,,,24,17,19,17,20,,,,,,,,
Missouri,SEC,,,18,14,12,13,16,19,12,17,10,19,,,,,
Northwestern,Big Ten,,,,,22,,,,,,,,,,,,
Ohio State,Big Ten,24,20,19,20,20,,,18,15,9,5,4,5,10,10,7,15
Oklahoma,Big 12,,,,,,,,,,14,12,10,8,15,24,,
Oklahoma State,Big 12,,,,,,,,,,24,22,22,21,17,14,12,19
Oregon,Pac-12,20,,,24,17,15,17,21,25,,,25,23,25,25,25,17
Oregon State,Pac-12,,,,,,,,,,,,,,,,,20
Purdue,Big Ten,,,,,,,,,,,25,,,23,19,20,
Richmond,A-10,,19,25,23,,,,,,,,,,,,,
Rutgers,Big Ten,23,22,17,12,13,14,,,,,,,,,,,
Saint Louis,A-10,,,,,,23,24,,24,,,,,,,,
San Diego State,MWC,,,20,,23,,,,,,,,25,21,19,18,
Syracuse,ACC,,,,,,,,,,,,,,,,,25
Tennessee,SEC,14,16,10,8,6,8,10,6,17,10,15,20,,,,,
Texas,Big 12,22,12,11,10,9,4,4,5,5,6,13,13,16,16,16,9,21
Texas Tech,Big 12,13,17,14,16,14,19,15,13,10,11,8,11,17,18,22,21,22
UCLA,Pac-12,21,,,,,,21,20,21,21,24,,,,,,7
UConn,Big East,,,,,,,,,,,,,,,,,
UNC,ACC,16,14,21,17,,,,,,,,,,,,,
USC,Pac-12,,,,,,,,,,,20,18,18,24,23,23,9
Villanova,Big East,3,6,6,3,3,3,3,3,3,3,4,7,6,9,11,17,11
Virginia,ACC,4,18,16,15,24,21,22,12,8,15,9,8,14,20,15,15,24
Virginia Tech,ACC,,15,,,,20,20,14,19,16,17,17,15,19,21,24,
West Virginia,Big 12,15,10,7,6,8,16,14,15,11,18,14,15,13,5,9,13,18
Wisconsin,Big Ten,7,13,12,9,7,10,9,10,13,20,21,21,24,,,,
Xavier,Big East,,,,22,20,,,,,,,,,,,,
