,,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll
,,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22
School,Conf,10/27,11/22,11/29,12/6,12/13,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,2/28,3/7,3/13,Final
Alabama,SEC,13,9,16,9,8,11,19,20,25,,,,,,25,24,,,
Arizona,Pac-12,,19,11,8,6,4,7,7,6,3,3,5,5,4,2,3,2,2,6
Arkansas,SEC,15,12,9,10,19,,,,,,,,,24,18,15,16,18,8
Auburn,SEC,22,22,20,21,14,12,11,9,4,2,2,1,2,2,4,5,4,7,14
BYU,WCC,,18,13,23,,,,,,,,,,,,,,,
Baylor,Big 12,8,5,4,2,1,1,1,1,1,6,4,8,10,8,11,4,3,4,9
Boise State,MWC,,,,,,,,,,,,,,,,,,23,
Colorado State,MWC,,,,,23,21,20,19,,23,22,,,,,,24,,
Davidson,A-10,,,,,,,,,,,,,,,,,,,
Duke,ACC,9,6,1,3,2,2,2,2,8,5,7,6,6,5,6,2,7,10,3
Florida,SEC,,24,12,16,,,,,,,,,,,,,,,
Florida State,ACC,19,,,,,,,,,,,,,,,,,,
Gonzaga,WCC,1,1,3,5,4,4,4,4,2,1,1,1,1,1,1,1,1,1,5
Houston,AAC,14,11,14,13,13,14,14,14,11,10,9,9,7,15,15,14,18,15,7
Illinois,Big Ten,10,15,,,,,,,24,17,21,18,13,12,14,17,15,16,19
Iowa,Big Ten,,,,,,,,,,,,,,,,25,23,19,21
Iowa State,Big 12,,,23,19,11,8,8,11,16,14,24,22,,,,,,,23
Kansas,Big 12,3,3,7,7,7,7,6,6,10,7,5,10,8,6,5,7,6,3,1
Kentucky,SEC,11,13,10,12,21,18,17,13,17,12,13,7,4,3,3,6,5,6,16
LSU,SEC,,,,24,20,16,16,21,12,16,18,25,,,,,,,
Loyola (IL),MVC,,,,,,,,,,24,,,,,,,,,
Marquette,Big East,,,,,,,,,,,,24,19,23,,,,,
Maryland,Big Ten,21,,,,,,,,,,,,,,,,,,
Memphis,AAC,16,10,19,,,,,,,,,,,,,,,,
Miami (FL),ACC,,,,,,,,,,,,,,,,,,,16
Michigan,Big Ten,6,13,24,,,,,,,,,,,,,,,,25
Michigan State,Big Ten,,,22,20,12,10,10,10,9,13,10,13,17,19,24,25,,,
Murray State,OVC,,,,,,,,,,,,,24,21,21,22,19,20,22
Ohio State,Big Ten,17,,,22,15,13,12,12,15,18,16,16,16,18,19,23,25,,
Oregon,Pac-12,12,23,,,,,,,,,,,,,,,,,
Providence,Big East,,,,,,23,21,17,20,21,17,15,11,9,10,8,10,13,13
Purdue,Big Ten,7,4,2,1,4,3,3,3,5,4,6,3,3,7,7,9,9,9,10
Saint Mary's,WCC,,,,,,,,,,,,,22,,23,20,17,16,20
Seton Hall,Big East,,20,,25,16,15,13,22,18,,,,,,,,,,
St. Bonaventure,A-10,24,16,25,,,,,,,,,,,,,,,,
St. Peter's,MAAC,,,,,,,,,,,,,,,,,,,24
Tennessee,SEC,17,17,15,14,18,19,15,18,23,25,20,20,18,13,17,13,11,8,15
Texas,Big 12,5,8,8,11,17,17,18,16,22,22,25,21,20,20,22,21,22,25,
Texas Tech,Big 12,,,,,24,25,25,25,19,19,14,14,9,11,9,12,14,11,12
UCLA,Pac-12,2,2,5,4,3,6,5,5,3,9,8,4,12,14,13,18,13,12,11
UConn,Big East,23,21,17,18,22,,,,,25,19,17,23,24,20,19,20,21,
UNC,ACC,20,,,,,,,,,,,,,,,,,,2
USC,Pac-12,,25,18,15,9,9,9,8,7,15,15,19,21,17,16,16,21,22,
Villanova,Big East,4,7,6,6,10,22,22,15,14,11,12,12,15,10,8,11,8,5,4
Virginia,ACC,25,,,,,,,,,,,,,,,,,,
Virginia Tech,ACC,,,,,,,,,,,,,,,,,,24,
Wake Forest,ACC,,,,,,,,,,,,,25,,,,,,
Wisconsin,Big Ten,,,21,17,,24,23,23,13,8,11,11,14,16,12,10,12,14,18
Wyoming,MWC,,,,,,,,,,,,,,22,,,,,
Xavier,Big East,,,,,25,20,24,24,21,20,23,23,,,,,,,
