,,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22
School,Conf,Pre,11/14,11/21,11/28,12/5,12/12,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/6,3/12,Post
Alabama,SEC,19,16,18,14,10,5,10,9,7,4,4,2,5,3,1,2,2,5,2,4
Arizona,Pac-12,13,12,12,4,9,9,5,5,4,9,11,8,7,4,8,7,9,9,8,17
Arizona State,Pac-12,,,,,,,,,,,,,,,,,,,,
Arkansas,SEC,10,10,9,11,8,10,8,7,13,16,25,,,,,,,,,21
Auburn,SEC,15,15,16,19,14,18,24,23,20,22,17,16,23,,,,,,,
Baylor,Big 12,6,6,7,10,12,11,13,13,16,,22,17,11,12,9,10,8,10,11,19
Clemson,ACC,,,,,,,,,,,19,23,19,24,,,,,,
College of Charleston,CAA,,,,,,,,,,24,21,18,,,,,,,,
Creighton,Big East,9,9,8,7,21,,,,,,,,,,19,19,23,22,22,12
Dayton,A-10,25,23,,,,,,,,,,,,,,,,,,
Duke,ACC,8,8,10,16,15,12,14,14,14,21,,25,,24,,,,21,16,18
Florida Atlantic,CUSA,,,,,,,,,,,,24,20,,,,,,25,5
Gonzaga,WCC,2,2,5,12,18,15,12,11,10,8,6,14,14,16,12,12,10,8,9,10
Houston,AAC,3,3,2,1,1,4,3,3,2,1,1,3,3,2,2,1,1,1,1,6
Illinois,Big Ten,23,20,14,17,17,19,16,22,24,,23,,25,,,,,,,
Indiana,Big Ten,14,13,11,8,11,16,21,18,19,,,,22,18,15,17,13,17,19,24
Iowa,Big Ten,,,24,,24,,,,,,,,,,,,,,,
Iowa State,Big 12,,,,23,20,,,,25,14,12,13,13,13,18,21,,,,
Kansas,Big 12,5,5,3,9,6,6,4,4,3,2,2,9,8,8,7,4,3,4,5,11
Kansas State,Big 12,,,,,,,,,,13,15,5,6,11,14,16,11,12,13,9
Kentucky,SEC,4,4,13,18,16,13,16,17,25,,,,,,,,,24,,
Marquette,Big East,,,,,,,25,,,23,18,15,12,10,10,9,6,6,4,14
Maryland,Big Ten,,,25,22,13,17,23,21,,,,,,,,,24,,,
Memphis,AAC,,,,,,,,,,,,,,,,,,,,
Miami (FL),ACC,,,,,,25,22,16,12,15,16,19,21,20,13,11,15,13,15,3
Michigan,Big Ten,22,21,,,,,,,,,,,,,,,,,,
Michigan State,Big Ten,,25,15,20,,,,,,,,,,,,,,,,20
Mississippi State,SEC,,,,,,20,15,20,,,,,,,,,,,,
Missouri,SEC,,,,,,,,,21,20,,,,,,,,,24,
NC State,ACC,,,,,,,,,,,,,,22,22,24,,,,
New Mexico,MWC,,,,,,,,,22,,,,,,,,,,,
Northwestern,Big Ten,,,,,,,,,,,,,,,,22,,25,,
Ohio State,Big Ten,,,,25,23,21,,,23,,,,,,,,,,,
Oregon,Pac-12,21,,,,,,,,,,,,,,,,,,,
Pitt,ACC,,,,,,,,,,,,,,,,,25,,,
Providence,Big East,,,,,,,,,,19,20,21,17,17,21,18,20,,,
Purdue,Big Ten,,24,23,5,4,1,1,1,1,3,3,1,1,1,3,5,5,3,3,13
Rutgers,Big Ten,,,,,,,,,,,,,,,,,,,,
Saint Mary's,WCC,,,,,,,,,,,24,22,18,14,17,14,16,16,19,22
San Diego State,MWC,20,19,19,24,22,,,,,25,,,,23,20,20,19,20,18,2
TCU,Big 12,16,18,,,25,22,19,19,17,17,13,11,16,19,24,,22,23,23,
Tennessee,SEC,11,17,21,13,7,7,11,10,9,5,9,4,2,5,11,13,14,19,21,16
Texas,Big 12,12,11,4,2,2,8,7,6,6,10,7,10,9,6,5,8,7,7,7,7
Texas A&M,SEC,,,,,,,,,,,,,,,25,25,21,18,17,25
Texas Tech,Big 12,24,22,20,,,,,,,,,,,,,,,,,
UCLA,Pac-12,7,7,17,21,18,14,9,8,8,6,5,7,9,7,4,3,4,2,6,8
UConn,Big East,,,22,6,5,3,2,2,5,7,14,20,23,21,23,23,18,14,12,1
UNC,ACC,1,1,1,15,,,,,,,,,,,,,,,,
Villanova,Big East,17,,,,,,,,,,,,,,,,,,,
Virginia,ACC,18,14,6,3,3,2,6,12,11,12,10,6,4,9,6,6,12,11,10,23
Virginia Tech,ACC,,,,,,24,20,,,,,,,,,,,,,
West Virginia,Big 12,,,,,,,,24,,,,,,,,,,,,
Wisconsin,Big Ten,,,,,,23,18,15,15,18,,,,,,,,,,
Xavier,Big East,,,,,,,,25,18,11,8,12,15,15,16,15,17,15,14,15
