,,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23
School,Conf,Pre,11/13,11/20,11/27,12/4,12/11,12/18,12/26,1/2,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/4,3/11,3/17,Post
Alabama,SEC,24,22,15,20,,,,,,,,,22,16,15,13,13,17,19,18,4
Arizona,Pac-12,11,3,3,2,1,1,4,4,10,8,13,9,12,8,6,4,7,5,7,9,12
Arkansas,SEC,14,14,,,,,,,,,,,,,,,,,,,
Auburn,SEC,,,,,,,,,24,16,11,6,16,11,12,14,11,14,12,7,17
BYU,Big 12,,,,19,13,17,15,12,12,17,19,19,21,19,17,21,,23,21,21,
Baylor,Big 12,17,13,12,9,6,6,10,19,18,14,9,14,18,13,13,11,14,11,13,13,14
Clemson,ACC,,,,,20,11,18,17,16,22,,,,,,,,,,,15
Colorado,Pac-12,,,21,,,,,,,,,,,,,,,,,,
Colorado State,MWC,,,,21,12,18,17,14,14,18,,23,,,25,24,,,,,
Creighton,Big East,8,7,7,14,11,8,14,20,,20,15,16,13,18,16,15,12,10,6,11,10
Dayton,A-10,,,,,,,,,,,23,17,19,17,18,16,20,,24,,
Duke,ACC,3,9,9,7,21,19,19,15,13,11,6,12,7,10,8,7,10,8,11,14,9
Florida,SEC,,,,,,,,,,,,,,,,,24,25,,23,
Florida Atlantic,AAC,9,10,20,17,9,14,12,6,17,25,,24,23,22,,,,,,,
Gonzaga,WCC,12,12,10,10,8,13,16,16,25,21,,,,,,,22,18,15,16,16
Houston,Big 12,6,6,6,5,2,3,3,3,3,2,5,4,4,5,3,2,1,1,1,2,3
Illinois,Big Ten,,23,22,24,18,16,11,9,8,10,14,11,14,12,14,12,16,12,14,10,7
Indiana State,MVC,,,,,,,,,,,,,,,24,,,,,,
Iowa State,Big 12,,,,,,,,,,,20,18,11,14,10,6,6,6,8,4,8
James Madison,Sun Belt,,,,23,24,20,21,21,20,,,,,,,,,,,,
Kansas,Big 12,1,1,1,6,3,2,2,2,2,3,4,8,9,4,7,10,9,15,17,20,21
Kentucky,SEC,16,16,16,12,17,15,9,10,6,6,10,6,8,15,20,17,15,13,9,12,19
Marquette,Big East,7,5,5,3,7,7,6,8,7,11,18,15,10,7,4,8,5,9,10,8,11
Memphis,AAC,,,23,,,,23,18,15,13,12,22,,,,,,,,,
Miami (FL),ACC,13,11,11,8,15,24,,,,,,,,,,,,,,,
Michigan State,Big Ten,4,19,19,25,,,,,,,,,,,,,,,,,
Mississippi State,SEC,,,25,22,,,,,,,,,,,,,,,,,
NC State,ACC,,,,,,,,,,,,,,,,,,,,,13
Nevada,MWC,,,,,,,,,,,,,,,,,,,22,,
New Mexico,MWC,,,,,,,,,,,,25,20,25,,,,,,,
Northwestern,Big Ten,,,,,,,,,,,,,,,,,,,,,
Ohio State,Big Ten,,,,,25,,,,,,,,,,,,,,,,
Oklahoma,Big 12,,,,,22,12,8,13,11,9,16,13,24,,21,,,,,,
Ole Miss,SEC,,,,,,25,25,22,19,23,21,,,,,,,,,,
Providence,Big East,,,,,,,,25,23,,,,,,,,,,,,
Purdue,Big Ten,2,2,2,1,4,4,1,1,1,1,2,2,2,2,2,3,3,3,3,3,2
Saint Mary's,WCC,23,24,,,,,,,,,,,,,19,18,17,21,20,15,22
San Diego State,MWC,15,,,,,,,,,19,24,,,24,,19,19,19,,25,18
South Carolina,SEC,,,,,,,,,,,,,,20,11,20,18,16,16,17,23
South Florida,AAC,,,,,,,,,,,,,,,,,25,24,,,
TCU,Big 12,,,,,,,,,,,22,,25,,,25,,,,,
Tennessee,SEC,10,8,8,11,13,10,7,7,5,5,7,5,5,6,9,5,4,4,5,6,5
Texas,Big 12,18,17,17,18,16,22,22,24,22,,,,,,,,,,,,
Texas A&M,SEC,19,15,13,13,19,,,,,,,,,,,,,,,,
Texas Tech,Big 12,,,,,,,,,,,25,21,15,23,,23,,,23,22,25
UCLA,Pac-12,25,25,24,,,,,,,,,,,,,,,,,,
UConn,Big East,5,4,4,4,5,5,5,5,4,4,1,1,1,1,1,1,2,2,2,1,1
UNC,ACC,21,18,14,16,10,9,13,11,9,7,3,3,3,3,5,9,8,7,4,5,6
USC,Pac-12,22,20,,,,,,,,,,,,,,,,,,,
Utah State,MWC,,,,,,,,,,23,17,20,17,21,,,23,22,18,19,20
Villanova,Big East,20,21,,15,,,,,,,,,,,,,,,,,
Virginia,ACC,,25,18,,23,21,20,,,,,,,,23,,,,,,
Washington State,Pac-12,,,,,,,,,,,,,,,,22,21,20,25,,24
Wisconsin,Big Ten,,,,,,23,24,23,21,15,8,10,6,9,21,,,,,24,
