Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WSeasonTeamID,LSeasonTeamID,WTeamName,LTeamName,WSeedRaw,LSeedRaw,WSeed,LSeed,Round
1985,136,1116,63,1234,54,N,0,1985_1116,1985_1234,Arkansas,Iowa,X09,X08,9,8,1.0
1985,136,1120,59,1345,58,N,0,1985_1120,1985_1345,Auburn,Purdue,Z11,Z06,11,6,1.0
1985,136,1207,68,1250,43,N,0,1985_1207,1985_1250,Georgetown,Lehigh,W01,W16,1,16,1.0
1985,136,1229,58,1425,55,N,0,1985_1229,1985_1425,Illinois St,USC,Y09,Y08,9,8,1.0
1985,136,1242,49,1325,38,N,0,1985_1242,1985_1325,Kansas,Ohio,Z03,Z14,3,14,1.0
1985,136,1246,66,1449,58,N,0,1985_1246,1985_1449,Kentucky,Washington,X12,X05,12,5,1.0
1985,136,1256,78,1338,54,N,0,1985_1256,1985_1338,Louisiana Tech,Pittsburgh,Y05,Y12,5,12,1.0
1985,136,1260,59,1233,58,N,0,1985_1260,1985_1233,Loyola-Chicago,Iona,W04,W13,4,13,1.0
1985,136,1314,76,1292,57,N,0,1985_1314,1985_1292,North Carolina,MTSU,Z02,Z15,2,15,1.0
1985,136,1323,79,1333,70,N,0,1985_1323,1985_1333,Notre Dame,Oregon St,Z07,Z10,7,10,1.0
1985,136,1326,75,1235,64,N,0,1985_1326,1985_1235,Ohio St,Iowa St,Y04,Y13,4,13,1.0
1985,136,1328,96,1299,83,N,0,1985_1328,1985_1299,Oklahoma,NC A&T,Y01,Y16,1,16,1.0
1985,136,1374,85,1330,68,N,0,1985_1374,1985_1330,SMU,Old Dominion,W05,W12,5,12,1.0
1985,136,1385,83,1380,59,N,0,1985_1385,1985_1380,St John's,Southern Univ,X01,X16,1,16,1.0
1985,136,1396,60,1439,57,N,0,1985_1396,1985_1439,Temple,Virginia Tech,W08,W09,8,9,1.0
1985,136,1424,85,1361,80,N,0,1985_1424,1985_1361,UNLV,San Diego St,X04,X13,4,13,1.0
1985,137,1104,50,1112,41,N,0,1985_1104,1985_1112,Alabama,Arizona,X07,X10,7,10,1.0
1985,137,1130,55,1403,53,N,0,1985_1130,1985_1403,Boston College,Texas Tech,Y11,Y06,11,6,1.0
1985,137,1181,75,1337,62,N,0,1985_1181,1985_1337,Duke,Pepperdine,Y03,Y14,3,14,1.0
